word,frequency
references,5614242
people,4716212
american,4400677
university,3454315
united,3415354
school,3372891
national,3189098
world,3165189
state,2992437
external,2926634
links,2912169
states,2902635
city,2885797
players,2862003
born,2835111
film,2763172
later,2627827
south,2448118
season,2440155
team,2415868
county,2362499
history,2334151
war,2333944
series,2327791
used,2261782
such,2254263
under,2221634
part,2212058
known,2165524
league,2127772
became,2070982
football,2066875
see,2035269
district,2030092
music,2024612
north,2014570
including,2009616
before,1976398
family,1938991
women,1930288
group,1918228
life,1916001
early,1909451
films,1897791
john,1875611
international,1865806
living,1794312
york,1779398
career,1762369
high,1757171
work,1753095
march,1751467
album,1746072
company,1743075
area,1715326
following,1709077
house,1708984
however,1706063
games,1695770
name,1695229
game,1671529
births,1671373
club,1663267
played,1644919
government,1639172
college,1627938
number,1627293
august,1623702
released,1610616
former,1551877
west,1550360
several,1541666
won,1521745
will,1496899
members,1492425
list,1492209
general,1489202
four,1482641
called,1459970
english,1451204
member,1435953
place,1430301
party,1425388
television,1413639
church,1411625
public,1411342
best,1396554
same,1383852
based,1346053
home,1344941
station,1343182
song,1342699
town,1322892
found,1319578
named,1308875
use,1295449
east,1290637
day,1286472
end,1279259
now,1277455
service,1269373
began,1267693
system,1256886
established,1252222
river,1251061
located,1249385
french,1247233
held,1239753
center,1219883
order,1214170
final,1212328
due,1210999
did,1209610
population,1207361
president,1204704
line,1204671
century,1200980
left,1188541
major,1187790
men,1183193
local,1174554
band,1171137
army,1165676
around,1161164
age,1155636
association,1151223
art,1149434
death,1147692
german,1146044
died,1143202
took,1142873
published,1141968
show,1137015
set,1135989
because,1131495
species,1124799
any,1124410
village,1121661
player,1121619
back,1118646
served,1118243
park,1112328
built,1109873
division,1106473
book,1105986
award,1104096
could,1103788
building,1099526
another,1097518
children,1096069
education,1085946
received,1083191
along,1083177
law,1082152
like,1071840
within,1070516
cup,1068552
road,1063542
main,1052659
military,1039587
air,1037306
third,1033639
last,1016989
single,1015168
king,1004408
said,1003337
five,993792
country,988763
development,986945
